step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
231,1.02217,0.7619,,
232,0.68814,0.76471,,
233,0.18629,0.95,,
234,0.40711,0.90909,,
235,1.99093,0.55556,,
236,2.05751,0.55,,
237,0.89001,0.74074,,
238,0.34468,0.94444,,
239,0.26045,0.85714,,
240,0.39592,0.90909,,
241,1.01891,0.76923,,
242,0.14361,1.0,,
243,0.21821,0.85714,,
244,1.37706,0.53571,,
245,0.45968,0.90909,,
246,0.44068,0.81818,,
247,0.15778,0.9375,,
248,0.18941,1.0,,
249,2.12464,0.45714,,
250,0.36796,0.875,,
251,1.46766,0.68966,,
252,0.6318,0.74074,,
253,0.38935,0.875,,
254,0.52796,0.82456,,
255,0.32959,0.92308,,
256,0.0839,0.98,,
257,0.73077,0.8,,
258,0.23374,0.93103,,
259,0.38919,0.92857,,
260,0.54606,0.83333,,
261,0.47014,0.82609,,
262,1.07042,0.72414,,
263,0.44608,0.92308,,
264,0.18452,0.95349,,
265,1.43108,0.57143,,
266,0.13839,0.92308,,
267,0.3558,0.92308,,
268,0.38004,0.89796,,
269,0.08501,1.0,,
270,0.41666,0.89815,,
271,1.76828,0.57143,,
272,0.54482,0.90361,,
273,1.07761,0.74419,,
274,0.32871,0.89474,,
275,0.12697,0.9375,,
276,0.14106,1.0,,
277,0.03463,1.0,,
278,0.18957,0.875,,
279,0.40978,0.82143,,
280,0.1472,0.96774,,
281,0.13045,1.0,,
282,0.15449,0.92593,,
283,0.15435,0.90909,,
284,0.51398,0.91667,,
285,0.13718,1.0,,
286,1.50776,0.65957,,
287,1.47745,0.70833,,
288,0.01553,1.0,,
289,0.08006,1.0,,
290,0.17665,0.97222,,
291,0.16358,0.91429,,
292,0.2659,0.93333,,
293,0.07964,1.0,,
294,0.07179,1.0,,
295,1.31301,0.73077,,
296,0.29812,0.89474,,
297,0.02713,1.0,,
298,0.15335,0.90698,,
299,0.19494,0.9375,,
300,0.38691,0.82353,,
301,1.01798,0.78571,,
302,1.4492,0.66667,,
303,0.14574,0.90909,,
304,1.57043,0.55556,,
305,0.09273,0.95833,,
306,0.13202,0.97059,,
307,0.71201,0.76923,,
308,1.03418,0.76,,
309,0.65532,0.81818,,
310,0.546,0.75758,,
311,0.05661,1.0,,
312,0.66269,0.83333,,
313,0.6018,0.88679,,
314,0.23966,0.90909,,
315,0.3304,0.88889,,
316,0.28555,0.94737,,
317,0.22736,0.93333,,
318,0.01175,1.0,,
319,1.22151,0.64286,,
320,0.51713,0.89286,,
321,0.21111,1.0,,
322,0.25781,1.0,,
323,0.79493,0.81609,,
324,0.56275,0.7619,,
325,1.28057,0.53333,,
326,0.0421,1.0,,
327,0.80752,0.6875,,
328,0.09458,1.0,,
329,0.01978,1.0,,
330,0.85239,0.75,,
331,0.00293,1.0,,
332,0.04371,1.0,,
333,0.13822,0.92308,,
334,0.03244,1.0,,
335,0.2856,0.91176,,
336,0.17405,0.95833,,
337,0.02863,1.0,,
338,0.29609,0.91667,,
339,0.49793,0.84,,
340,0.17359,0.94118,,
341,1.09541,0.7619,,
342,0.08349,0.95,,
343,0.44605,0.875,,
344,0.00155,1.0,,
345,0.09755,0.98113,,
346,0.13993,0.92308,,
347,0.09901,0.95122,,
